,name_x,name_y,support,price_x,price_y
0,MLB Cincinnati Reds T Shirt Size XL,Soul Calibur II Xbox Game,0.5555555555555556,10.0,8.0
1,MLB Cincinnati Reds T Shirt Size XL,Boys 12-18 month button down shirts,0.4444444444444444,10.0,8.0
2,Soul Calibur II Xbox Game,Boys 12-18 month button down shirts,0.3888888888888889,8.0,8.0
3,Soul Calibur II Xbox Game,2 Polo Rugby(Wingtips),0.4444444444444444,8.0,20.0
4,MLB Cincinnati Reds T Shirt Size XL,2 Polo Rugby(Wingtips),0.4444444444444444,10.0,20.0
5,Boys 12-18 month button down shirts,2 Polo Rugby(Wingtips),0.3888888888888889,8.0,20.0
6,4 oz of clear slime,Soul Calibur II Xbox Game,0.3888888888888889,9.0,8.0
7,MLB Cincinnati Reds T Shirt Size XL,4 oz of clear slime,0.3888888888888889,10.0,9.0
8,4 oz of clear slime,2 Polo Rugby(Wingtips),0.3333333333333333,9.0,20.0
9,4 oz of clear slime,Boys 12-18 month button down shirts,0.2777777777777778,9.0,8.0
10,"11"" Baltic amber teething necklace",2 Polo Rugby(Wingtips),0.3888888888888889,20.0,20.0
11,Soul Calibur II Xbox Game,"11"" Baltic amber teething necklace",0.3888888888888889,8.0,20.0
12,MLB Cincinnati Reds T Shirt Size XL,"11"" Baltic amber teething necklace",0.3888888888888889,10.0,20.0
13,4 oz of clear slime,"11"" Baltic amber teething necklace",0.3333333333333333,9.0,20.0
14,Boys 12-18 month button down shirts,"11"" Baltic amber teething necklace",0.3333333333333333,8.0,20.0
15,Thirty one LUT,2 Polo Rugby(Wingtips),0.3888888888888889,29.0,20.0
16,Thirty one LUT,Boys 12-18 month button down shirts,0.3888888888888889,29.0,8.0
17,Thirty one LUT,Soul Calibur II Xbox Game,0.3888888888888889,29.0,8.0
18,MLB Cincinnati Reds T Shirt Size XL,Thirty one LUT,0.3888888888888889,10.0,29.0
19,Thirty one LUT,"11"" Baltic amber teething necklace",0.3333333333333333,29.0,20.0
20,Thirty one LUT,4 oz of clear slime,0.2777777777777778,29.0,9.0
21,Soul Calibur II Xbox Game,American Girl Bitty Baby lot HOLD Danel,0.3888888888888889,8.0,48.0
22,MLB Cincinnati Reds T Shirt Size XL,American Girl Bitty Baby lot HOLD Danel,0.3888888888888889,10.0,48.0
23,Thirty one LUT,American Girl Bitty Baby lot HOLD Danel,0.3333333333333333,29.0,48.0
24,American Girl Bitty Baby lot HOLD Danel,"11"" Baltic amber teething necklace",0.3333333333333333,48.0,20.0
25,4 oz of clear slime,American Girl Bitty Baby lot HOLD Danel,0.3333333333333333,9.0,48.0
26,American Girl Bitty Baby lot HOLD Danel,2 Polo Rugby(Wingtips),0.3333333333333333,48.0,20.0
27,Boys 12-18 month button down shirts,American Girl Bitty Baby lot HOLD Danel,0.3333333333333333,8.0,48.0
28,Soul Calibur II Xbox Game,Women's bathing suit bra top,0.3888888888888889,8.0,4.0
29,MLB Cincinnati Reds T Shirt Size XL,Women's bathing suit bra top,0.3888888888888889,10.0,4.0
30,American Girl Bitty Baby lot HOLD Danel,Women's bathing suit bra top,0.3333333333333333,48.0,4.0
31,Thirty one LUT,Women's bathing suit bra top,0.3333333333333333,29.0,4.0
32,"11"" Baltic amber teething necklace",Women's bathing suit bra top,0.3333333333333333,20.0,4.0
33,2 Polo Rugby(Wingtips),Women's bathing suit bra top,0.3333333333333333,20.0,4.0
34,Boys 12-18 month button down shirts,Women's bathing suit bra top,0.3333333333333333,8.0,4.0
35,4 oz of clear slime,Women's bathing suit bra top,0.2777777777777778,9.0,4.0
36,sweat pants,"11"" Baltic amber teething necklace",0.3888888888888889,13.0,20.0
37,sweat pants,2 Polo Rugby(Wingtips),0.3888888888888889,13.0,20.0
38,sweat pants,Soul Calibur II Xbox Game,0.3888888888888889,13.0,8.0
39,MLB Cincinnati Reds T Shirt Size XL,sweat pants,0.3888888888888889,10.0,13.0
40,sweat pants,Women's bathing suit bra top,0.3333333333333333,13.0,4.0
41,sweat pants,American Girl Bitty Baby lot HOLD Danel,0.3333333333333333,13.0,48.0
42,Thirty one LUT,sweat pants,0.3333333333333333,29.0,13.0
43,4 oz of clear slime,sweat pants,0.3333333333333333,9.0,13.0
44,sweat pants,Boys 12-18 month button down shirts,0.3333333333333333,13.0,8.0
45,Boys 12-18 month button down shirts,BBW Scentportables,0.3888888888888889,8.0,5.0
46,MLB Cincinnati Reds T Shirt Size XL,BBW Scentportables,0.3888888888888889,10.0,5.0
47,sweat pants,BBW Scentportables,0.3333333333333333,13.0,5.0
48,Women's bathing suit bra top,BBW Scentportables,0.3333333333333333,4.0,5.0
49,American Girl Bitty Baby lot HOLD Danel,BBW Scentportables,0.3333333333333333,48.0,5.0
50,Thirty one LUT,BBW Scentportables,0.3333333333333333,29.0,5.0
51,"11"" Baltic amber teething necklace",BBW Scentportables,0.3333333333333333,20.0,5.0
52,2 Polo Rugby(Wingtips),BBW Scentportables,0.3333333333333333,20.0,5.0
53,Soul Calibur II Xbox Game,BBW Scentportables,0.3333333333333333,8.0,5.0
54,4 oz of clear slime,BBW Scentportables,0.2777777777777778,9.0,5.0
55,R/C Fast Lane Helicopter,BBW Scentportables,0.3888888888888889,12.0,5.0
56,R/C Fast Lane Helicopter,Boys 12-18 month button down shirts,0.3888888888888889,12.0,8.0
57,MLB Cincinnati Reds T Shirt Size XL,R/C Fast Lane Helicopter,0.3888888888888889,10.0,12.0
58,R/C Fast Lane Helicopter,sweat pants,0.3333333333333333,12.0,13.0
59,R/C Fast Lane Helicopter,Women's bathing suit bra top,0.3333333333333333,12.0,4.0
60,R/C Fast Lane Helicopter,American Girl Bitty Baby lot HOLD Danel,0.3333333333333333,12.0,48.0
61,R/C Fast Lane Helicopter,Thirty one LUT,0.3333333333333333,12.0,29.0
62,R/C Fast Lane Helicopter,"11"" Baltic amber teething necklace",0.3333333333333333,12.0,20.0
63,R/C Fast Lane Helicopter,2 Polo Rugby(Wingtips),0.3333333333333333,12.0,20.0
64,R/C Fast Lane Helicopter,Soul Calibur II Xbox Game,0.3333333333333333,12.0,8.0
